,Event,Date,Location,Disease,Death toll (estimate),Is death toll unknown,Death toll lower limit,Death toll upper limit,BC/AD,LatestDate,EarliestDate,Disease cleaned,Country,Europe Affected,Asia Affected,Africa Affected,Oceania Affected,North America Affected,South America Affected
0,1350 BC plague of Megiddo,1350 BC,"Megiddo, land of Canaan","Amarna letters EA 244, Biridiya, mayor of Megiddo complains to Amenhotep III of his area being ""consumed by death, plague and dust""",Unknown,True,,,BC,1350 ,1350 ,Unknown,Megiddo,False,True,False,False,False,False
1,Plague of Athens,430–426 BC,"Greece, Libya, Egypt, Ethiopia","Unknown, possibly typhus, typhoid fever or viral hemorrhagic fever","75,000–100,000",False,75000.0,100000.0,BC,426,430,Unknown,Multiple,True,False,True,False,False,False
2,412 BC epidemic,412 BC,"Greece (Northern Greece, Roman Republic)","Unknown, possibly influenza",Unknown,True,,,BC,412 ,412 ,Unknown,Roman Republic,True,False,False,False,False,False
3,Antonine Plague,165–180 (possibly up to 190),Roman Empire,"Unknown, possibly smallpox",5–10 million,False,5000000.0,10000000.0,AD,180,165,Unknown,Roman Empire,True,True,True,False,False,False
4,Jian'an Plague,217,Han Dynasty,"Unknown, possibly typhoid fever or viral hemorrhagic fever",Unknown,True,,,AD,217,217,Unknown,Han Dynasty,False,True,False,False,False,False
5,Plague of Cyprian,249–262,Europe,"Unknown, possibly smallpox",310000,False,310000.0,310000.0,AD,262,249,Unknown,Multiple,True,False,False,False,False,False
6,Plague of Justinian (beginning of first plague pandemic),541–549,Europe and West Asia,Bubonic plague,15–100 million,False,15000000.0,100000000.0,AD,549,541,Bubonic plague,Multiple,True,True,False,False,False,False
7,Roman Plague of 590 (part of first plague pandemic),590,"Rome, Byzantine Empire",Bubonic plague,Unknown,True,,,AD,590,590,Bubonic plague,Byzantine Empire,True,True,True,False,False,False
8,Plague of Sheroe (part of First plague pandemic),627–628,Bilad al-Sham,Bubonic plague,"25,000+",False,25000.0,,AD,628,627,Bubonic plague,Bilad al-Sham,False,True,False,False,False,False
9,Plague of Amwas (part of first plague pandemic),638–639,"Byzantine Empire, West Asia, Africa",Bubonic plague,"25,000+",False,25000.0,,AD,639,638,Bubonic plague,Multiple,True,True,True,False,False,False
10,Plague of 664 (part of first plague pandemic),664–689,British Isles,Bubonic plague,Unknown,True,,,AD,689,664,Bubonic plague,Multiple,True,False,False,False,False,False
11,Plague of 698–701 (part of first plague pandemic),698–701,"Byzantine Empire, West Asia, Syria, Mesopotamia",Bubonic plague,Unknown,True,,,AD,701,698,Bubonic plague,Multiple,True,True,True,False,False,False
