event,disease_cleaned,country,duration_years,death_toll_cleaned,affected_continents,number_of_affected_continents,years_ago_ended,disease_encoded,country_encoded,affected_continents_encoded
Plague of Justinian (beginning of first plague pandemic),Bubonic plague,Multiple,8,57500000.0,"europe, asia",2,1474,3,37,5
Plague of Sheroe (part of First plague pandemic),Bubonic plague,Bilad al-Sham,1,25000.0,asia,1,1395,3,5,1
Plague of Amwas (part of first plague pandemic),Bubonic plague,Multiple,1,25000.0,"europe, asia, africa",3,1384,3,37,6
735–737 Japanese smallpox epidemic,Smallpox,Japan,2,2000000.0,asia,1,1286,37,31,1
Black Death (start of the second plague pandemic),Bubonic plague,Multiple,7,137500000.0,"europe, asia, africa",3,670,3,37,6
1489 Spain typhus epidemic,Typhus,Spain,0,17000.0,europe,1,534,39,52,4
1520 Mexico smallpox epidemic,Smallpox,Mexico,1,6500000.0,north_america,1,503,37,36,10
1563 London plague (part of the second plague pandemic),Bubonic plague,United Kingdom,1,20100.0,europe,1,459,3,56,4
1582 Tenerife plague epidemic (part of the second plague pandemic),Bubonic plague,Spain,1,7000.0,europe,1,440,3,52,4
1592–1593 Malta plague epidemic (part of the second plague pandemic),Bubonic plague,Malta,1,3000.0,europe,1,430,3,35,4
1592–1593 London plague (part of the second plague pandemic),Bubonic plague,United Kingdom,1,19900.0,europe,1,430,3,56,4
1596–1602 Spain plague epidemic (part of the second plague pandemic),Bubonic plague,Spain,6,650000.0,europe,1,421,3,52,4
1603 London plague epidemic (part of the second plague pandemic),Bubonic plague,United Kingdom,0,40000.0,europe,1,420,3,56,4
1629–1631 Italian plague (part of the second plague pandemic),Bubonic plague,Italy,2,1000000.0,europe,1,392,3,30,4
1632–1635 Augsburg plague epidemic (part of the second plague pandemic),Bubonic plague,Germany,3,13712.0,europe,1,388,3,21,4
Massachusetts smallpox epidemic,Smallpox,United States,1,1000.0,north_america,1,389,37,57,10
1634–1640 Wyandot people epidemic,Multiple,Multiple,6,20000.0,north_america,1,383,27,37,10
1637 London plague epidemic (part of the second plague pandemic),Bubonic plague,United Kingdom,1,10400.0,europe,1,386,3,56,4
Great Plague in the late Ming dynasty (part of the second plague pandemic),Bubonic plague,China,11,200000.0,asia,1,379,3,11,1
Great Plague of Seville (part of the second plague pandemic),Bubonic plague,Spain,5,500000.0,europe,1,371,3,52,4
Naples Plague (part of the second plague pandemic),Bubonic plague,Italy,2,1250000.0,europe,1,365,3,30,4
1663–1664 Amsterdam plague epidemic (part of the second plague pandemic),Bubonic plague,Netherlands,1,24148.0,europe,1,359,3,38,4
Great Plague of London (part of the second plague pandemic),Bubonic plague,United Kingdom,1,100000.0,europe,1,357,3,56,4
1668 France plague (part of the second plague pandemic),Bubonic plague,France,0,40000.0,europe,1,355,3,20,4
1675–1676 Malta plague epidemic (part of the second plague pandemic),Bubonic plague,Malta,1,11300.0,europe,1,347,3,35,4
1677–1678 Boston smallpox epidemic,Smallpox,United States,1,875.0,north_america,1,345,37,57,10
Great Plague of Vienna (part of the second plague pandemic),Bubonic plague,Austria,0,76000.0,europe,1,344,3,3,4
1681 Prague plague epidemic (part of the second plague pandemic),Bubonic plague,Czechia,0,83000.0,europe,1,342,3,14,4
1693 Boston yellow fever epidemic,Yellow fever,United States,0,3100.0,north_america,1,330,42,57,10
1699 Charleston and Philadelphia yellow fever epidemic,Yellow fever,Multiple,0,520.0,north_america,1,324,42,37,10
1702 New York City yellow fever epidemic,Yellow fever,Multiple,0,500.0,north_america,1,321,42,37,10
